Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=No	Option=Yes	Count	Weight	resstock_probability
CR03	<1940	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	2.3100385440000012e-06
CR03	<1940	Natural Gas	Only Heating Shared	1.0	0.0	27.0	180409.1757	0.00029496746868418324
CR03	<1940	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	None	Only Cooling Shared	1.0	0.0	1.0	4269.741819	0.0
CR03	<1940	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Other Fuel	Neither Shared	1.0	0.0	8.0	48126.23846	6.339210761600002e-05
CR03	<1940	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Other Fuel	Only Heating Shared	1.0	0.0	1.0	11638.25311	4.012789238400001e-05
CR03	<1940	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Propane	Neither Shared	1.0	0.0	6.0	40965.127810000005	0.0009470942108160004
CR03	<1940	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	<1940	Propane	Only Heating Shared	1.0	0.0	2.0	13805.529059999999	0.0002951457891840002
CR03	1940s	Electricity	Both Shared	1.0	0.0	1.0	4294.151879	0.00022055488616000006
CR03	1940s	Electricity	Neither Shared	0.9479629999999999	0.052037	15.0	78133.94812	0.013124361598080007
CR03	1940s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	9.978907928000003e-05
CR03	1940s	Electricity	Only Heating Shared	1.0	0.0	6.0	44709.459039999994	0.0012964944364800002
CR03	1940s	Fuel Oil	Both Shared	1.0	0.0	1.0	4739.70291	0.0
CR03	1940s	Fuel Oil	Neither Shared	1.0	0.0	125.0	706130.671	0.0
CR03	1940s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Fuel Oil	Only Heating Shared	1.0	0.0	20.0	141183.5386	0.0
CR03	1940s	Natural Gas	Both Shared	1.0	0.0	1.0	8067.488595000001	5.8143278587853675e-05
CR03	1940s	Natural Gas	Neither Shared	1.0	0.0	132.0	746518.5374	0.0019145827338682944
CR03	1940s	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	4.6200770880000025e-06
CR03	1940s	Natural Gas	Only Heating Shared	1.0	0.0	27.0	180409.1757	0.0005899349373683665
CR03	1940s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	None	Only Cooling Shared	1.0	0.0	1.0	4269.741819	0.0
CR03	1940s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Other Fuel	Neither Shared	1.0	0.0	8.0	48126.23846	0.00012678421523200004
CR03	1940s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Other Fuel	Only Heating Shared	1.0	0.0	1.0	11638.25311	8.025578476800002e-05
CR03	1940s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Propane	Neither Shared	1.0	0.0	6.0	40965.127810000005	0.0018941884216320004
CR03	1940s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	1940s	Propane	Only Heating Shared	1.0	0.0	2.0	13805.529059999999	0.0005902915783680001
CR03	1950s	Electricity	Both Shared	1.0	0.0	0.0	0.0	5.8126025720000015e-05
CR03	1950s	Electricity	Neither Shared	1.0	0.0	7.0	38873.01746	0.006996823606920001
CR03	1950s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	4.020220064e-05
CR03	1950s	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0002754481667200001
CR03	1950s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Fuel Oil	Neither Shared	1.0	0.0	65.0	377981.3401	0.0
CR03	1950s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Fuel Oil	Only Heating Shared	1.0	0.0	7.0	52483.32713	0.0
CR03	1950s	Natural Gas	Both Shared	1.0	0.0	1.0	7420.936806000001	2.9559918648000016e-05
CR03	1950s	Natural Gas	Neither Shared	1.0	0.0	35.0	191384.5828	0.0010124738740080006
CR03	1950s	Natural Gas	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Natural Gas	Only Heating Shared	1.0	0.0	4.0	28813.86545	0.00024160620734400007
CR03	1950s	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Other Fuel	Neither Shared	1.0	0.0	6.0	43014.2559	0.00010352000000000003
CR03	1950s	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Other Fuel	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Propane	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Propane	Neither Shared	1.0	0.0	0.0	0.0	0.0012422400000000006
CR03	1950s	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR03	1950s	Propane	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.00010903475992000001
CR03	1960s	Electricity	Neither Shared	1.0	0.0	4.0	22298.24533	0.006901291786200001
CR03	1960s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	6.784342476000001e-05
CR03	1960s	Electricity	Only Heating Shared	1.0	0.0	1.0	6469.69616	0.00029243002912
CR03	1960s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR03	1960s	Fuel Oil	Neither Shared	0.967888	0.032112	30.0	175296.1552	0.0
