Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=FIXME Room AC, EER 8.5, 20% Conditioned	Option=FIXME Room AC, EER 10.7, 20% Conditioned	resstock_probability
CR02	1950s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1950s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Electricity	No	Only Heating Shared	0.166652	0.063253	0.37499299999999997	0.24349	0.043182	0.036143	0.072286	0.00029243002912
CR02	1960s	Fuel Oil	No	Only Heating Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	0.0
CR02	1960s	Natural Gas	No	Only Heating Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	0.00022328763763200006
CR02	1960s	None	No	Only Heating Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	0.0
CR02	1960s	Other Fuel	No	Only Heating Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	1.3272878912000001e-05
CR02	1960s	Propane	No	Only Heating Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	0.00024844800000000007
CR02	1960s	Electricity	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Fuel Oil	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	None	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Electricity	No	Neither Shared	0.166652	0.063253	0.37499299999999997	0.24349	0.043182	0.036143	0.072286	0.005834172642467039
CR02	1960s	Fuel Oil	No	Neither Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	0.0
CR02	1960s	Natural Gas	No	Neither Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	0.0010147012461360005
CR02	1960s	None	No	Neither Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	0.0
CR02	1960s	Other Fuel	No	Neither Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	9.024712108800002e-05
CR02	1960s	Propane	No	Neither Shared	0.135932	0.067677	0.401225	0.260523	0.046202999999999994	0.029480000000000003	0.058961	0.0009937920000000003
CR02	1960s	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010671191437329614
CR02	1960s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.784342476000001e-05
CR02	1960s	Fuel Oil	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0068872160000003e-05
CR02	1960s	None	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Electricity	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Fuel Oil	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	None	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
